mls,title,address,city,price,tax,dom,houseSize,landSize,zoning,power,water,url,features,status,importDate,id
"10375260","201 Highway 97, Vernon, BC V1H 1G1","201 Highway 97, Vernon, BC V1H 1G1","Vernon","14000000","2248","0","4283","58.98 acre","d Large Holding","","well","https://www.zealty.ca/property/BC/Vernon/201-HIGHWAY-97-mls_10375260","💧 well","Watchlist","2026-02-11T22:36:04.056Z","1770849364056"
"1770849369881","2026-02-11T22:36:09.881Z","10372741","Timber King’s Shuswap Sanctuary","Watchlist","1897 Blind Bay Road, Sorrento, BC V0E 2W0","Sorrento","https://www.zealty.ca/property/BC/Sorrento/1897-BLIND-BAY-ROAD-mls_10372741","3","3","Potential","4016","2.14 acres","Lakeshore Residential (LR)","600 amps","well","Handcrafted Pioneer log home with 320ft of private Shuswap shoreline. Features floor-to-ceiling stone fireplace, radiant in-floor heating, detached triple garage with industrial-grade power, and extreme privacy with gated entry.","3099000","3099000","10608.7","850","4","4","4.2","32","4","34","{""user"":{""score"":"""",""note"":""""},""spouse"":{""score"":"""",""note"":""""},""realtor"":{""score"":"""",""note"":""""}}"
"10373261","12056 Okanagan Centre Road W, Lake Country, BC V4V 2H5","12056 Okanagan Centre Road W, Lake Country, BC V4V 2H5","Lake Country","16500000","29113","9","7174",", Ha","","","Well","https://www.zealty.ca/property/BC/Lake-Country/12056-OKANAGAN-CENTRE-ROAD-W-mls_10373261","💧 Well","Watchlist","2026-02-11T22:36:15.634Z","1770849375634"
