Title,Price,Cost,Status,Category,Condition,Tags,Description,Location,Created
"Lego Bricklink LIMITED EDITION #910032 Parisian Street",600,470,Active,"Toys",new,"lego,bricklink, limited, rare, 910032, Parisian, parisian street, building, bistro, store","Only 10,000 are made world wide, limited edition.  Brand New Factory Sealed  Pickup around Guildford or might be able to meet in Coquitlam, Langley, Abbotsford and possibly out towards Vancouver   Tags: lego,bricklink, limited, rare, 910032, Parisian, parisian street, building, bistro, store","",12/10/2025
"Lego Bricklink LIMITED EDITION #910042 Lost City",475,392,Active,"Toys",new,"lego,bricklink, limited, rare, 910042, Lost city, lost, city, castle","Only 10,000 are made world wide, limited edition.  Brand New Factory Sealed  Pickup around Guildford or might be able to meet in Coquitlam, Langley, Abbotsford and possibly out towards Vancouver   Tags: lego,bricklink, limited, rare, 910042, Lost city, lost, city, castle","",12/10/2025
"Lego Bricklink LIMITED EDITION #910030 Snack Shack",150,73,Active,"Toy",new,"lego,bricklink, limited, rare, 910030, snack, shack, snack shack, trailer","Only 10,000 are made world wide, limited edition.  Brand New Factory Sealed  Pickup around Guildford or might be able to meet in Coquitlam, Langley, Abbotsford and possibly out towards Vancouver   Tags: lego,bricklink, limited, rare, 910030, snack, shack, snack shack, trailer","",12/10/2025
"Lego Bricklink LIMITED EDITION #910031 General Store",350,235,Active,"Toys",new,"lego,bricklink, limited, rare, 910031, General, store, general store, building","Only 10,000 are made world wide, limited edition.  Brand New Factory Sealed  Pickup around Guildford or might be able to meet in Coquitlam, Langley, Abbotsford and possibly out towards Vancouver   Tags: lego,bricklink, limited, rare, 910031, General, store, general store, building","",12/10/2025
"Lego Bricklink LIMITED EDITION #910045 Siege Encampent",350,235,Active,"Toys",new,"lego,bricklink, limited, rare, 910031, General, store, general store, building","Only 10,000 are made world wide, limited edition.  Brand New Factory Sealed  Pickup around Guildford or might be able to meet in Coquitlam, Langley, Abbotsford and possibly out towards Vancouver   Tags: lego,bricklink, limited, rare, 910031, General, store, general store, building","",12/10/2025
"Lego Bricklink LIMITED EDITION #910003 Mountain Windmill",600,258,Active,"Toys",new,"lego,bricklink, limited, rare, 910031, General, store, general store, building","Only 10,000 are made world wide, limited edition.  Brand New Factory Sealed  Pickup around Guildford or might be able to meet in Coquitlam, Langley, Abbotsford and possibly out towards Vancouver   Tags: lego,bricklink, limited, rare, 910003, mountain windmill, windmill, mountain, fortress","",12/10/2025
"Lego Bricklink LIMITED EDITION #910009 Modular Lego Store",650,258,Active,"Toys",new,"lego,bricklink, limited, rare, 910009, Modular, lego, store, lego store, modular lego store, building","Only 10,000 are made world wide, limited edition.  Brand New Factory Sealed  Pickup around Guildford or might be able to meet in Coquitlam, Langley, Abbotsford and possibly out towards Vancouver   Tags: lego,bricklink, limited, rare, 910009, Modular, lego, store, lego store, modular lego store, building","",12/10/2025
"Lego Bricklink LIMITED EDITION #910009 Modular Lego Store (Copy)",650,258,Draft,"Toys",new,"lego,bricklink, limited, rare, 910009, Modular, lego, store, lego store, modular lego store, building","Only 10,000 are made world wide, limited edition.  Brand New Factory Sealed  Pickup around Guildford or might be able to meet in Coquitlam, Langley, Abbotsford and possibly out towards Vancouver   Tags: lego,bricklink, limited, rare, 910009, Modular, lego, store, lego store, modular lego store, building","",12/10/2025
"Lego Bricklink LIMITED EDITION #910003 Mountain Windmill (Copy)",600,258,Draft,"Toys",new,"lego,bricklink, limited, rare, 910031, General, store, general store, building","Only 10,000 are made world wide, limited edition.  Brand New Factory Sealed  Pickup around Guildford or might be able to meet in Coquitlam, Langley, Abbotsford and possibly out towards Vancouver   Tags: lego,bricklink, limited, rare, 910003, mountain windmill, windmill, mountain, fortress","",12/10/2025
"Lego Bricklink LIMITED EDITION #910045 Siege Encampent (Copy)",350,235,Draft,"Toys",new,"lego,bricklink, limited, rare, 910031, General, store, general store, building","Only 10,000 are made world wide, limited edition.  Brand New Factory Sealed  Pickup around Guildford or might be able to meet in Coquitlam, Langley, Abbotsford and possibly out towards Vancouver   Tags: lego,bricklink, limited, rare, 910031, General, store, general store, building","",12/10/2025
"Lego Bricklink LIMITED EDITION #910031 General Store (Copy)",350,235,Draft,"Toys",new,"lego,bricklink, limited, rare, 910031, General, store, general store, building","Only 10,000 are made world wide, limited edition.  Brand New Factory Sealed  Pickup around Guildford or might be able to meet in Coquitlam, Langley, Abbotsford and possibly out towards Vancouver   Tags: lego,bricklink, limited, rare, 910031, General, store, general store, building","",12/10/2025
"Lego Bricklink LIMITED EDITION #910030 Snack Shack (Copy)",150,73,Draft,"Toy",new,"lego,bricklink, limited, rare, 910030, snack, shack, snack shack, trailer","Only 10,000 are made world wide, limited edition.  Brand New Factory Sealed  Pickup around Guildford or might be able to meet in Coquitlam, Langley, Abbotsford and possibly out towards Vancouver   Tags: lego,bricklink, limited, rare, 910030, snack, shack, snack shack, trailer","",12/10/2025
"Lego Bricklink LIMITED EDITION #910042 Lost City (Copy)",475,392,Draft,"Toys",new,"lego,bricklink, limited, rare, 910042, Lost city, lost, city, castle","Only 10,000 are made world wide, limited edition.  Brand New Factory Sealed  Pickup around Guildford or might be able to meet in Coquitlam, Langley, Abbotsford and possibly out towards Vancouver   Tags: lego,bricklink, limited, rare, 910042, Lost city, lost, city, castle","",12/10/2025
"Lego Bricklink LIMITED EDITION #910032 Parisian Street (Copy)",600,470,Draft,"Toys",new,"lego,bricklink, limited, rare, 910032, Parisian, parisian street, building, bistro, store","Only 10,000 are made world wide, limited edition.  Brand New Factory Sealed  Pickup around Guildford or might be able to meet in Coquitlam, Langley, Abbotsford and possibly out towards Vancouver   Tags: lego,bricklink, limited, rare, 910032, Parisian, parisian street, building, bistro, store","",12/10/2025
"Lego Bricklink LIMITED EDITION #910046 Merchant Boat (Copy)",350,245,Draft,"Toys",new,"lego,bricklink, limited, rare, 910046, boat, merchant boat, merchant, fishing, house boat, house","Only 10,000 are made world wide, limited edition.  Brand New Factory Sealed  Pickup around Guildford or might be able to meet in Coquitlam, Langley, Abbotsford and possibly out towards Vancouver   Tags: lego,bricklink, limited, rare, 910046, boat, merchant boat, merchant, fishing, house boat, house","",12/10/2025
"Lego Bricklink LIMITED EDITION #910040 Harbormasters Office (Copy)",400,292,Draft,"Toys",new,"lego,bricklink, limited, rare, 910040, Office, Harbormasters, harbormasters office ","Only 10,000 are made world wide, limited edition.  Brand New Factory Sealed  Pickup around Guildford or might be able to meet in Coquitlam, Langley, Abbotsford and possibly out towards Vancouver   Tags: lego,bricklink, limited, rare, 910040, Office, Harbormasters, harbormasters office ","",12/10/2025
"Lego Bricklink LIMITED EDITION #910039 The Art of Chocolate (Copy)",450,336,Draft,"Toys",new,"lego,art of chocolate, bricklink, chocolate, limited, 910039, rare ","Only 10,000 are made world wide, limited edition.  Brand New Factory Sealed   Tags: lego,art of chocolate, bricklink, chocolate, limited, 910039, rare ","",12/10/2025
"Lego Bricklink LIMITED EDITION #910044 Wild West Train (Copy)",500,392,Draft,"Toys",new,"lego, old train engine, 910044, bricklink, train, wild west, 910044, ","Only 10,000 are made world wide, limited edition.  Brand New Factory Sealed   Tags: lego, old train engine, 910044, bricklink, train, wild west, 910044, ","",12/10/2025
"Lego Bricklink LIMITED EDITION #910033 Old Train Engine Shed (Copy)",450,336,Draft,"Toys",new,"lego, old train engine shed, 910033, bricklink, train, engine","Only 10,000 are made world wide, limited edition.  Brand New Factory Sealed   Tags: lego, old train engine shed, 910033, bricklink, train, engine","",12/10/2025
"Lego Bricklink LIMITED EDITION Lego Sets buy the lot or individual",4500,3522,Active,"Toys",new,"lego,bricklink, limited, rare, 910009, 910003, 910045, 910031, 910030, 910042, 910032, 910046, 910040, 910039, 910044, 910033 Modular, lego store, kit, bundle, windmill, mountain, siege, encampment, general, store, snack, shack, lost, city, parisian, street, merchant, boat, habormaster, office, art, chocolate, wild west, train, engine, shed","Only 10,000 are made world wide, limited edition.  Brand New Factory Sealed  Buy invdividually or but the entire lot for $4,500.00  Pickup around Guildford or might be able to meet in Coquitlam, Langley, Abbotsford and possibly out towards Vancouver  - Lego Bricklink LIMITED EDITION #910009 Modular Lego Store $650 - Lego Bricklink LIMITED EDITION #910003 Mountain Windmill $600 - Lego Bricklink LIMITED EDITION #910045 Siege Encampment $350 - Lego Bricklink LIMITED EDITION #910031 General Store $350 - Lego Bricklink LIMITED EDITION #910030 Snack Shack $150 - Lego Bricklink LIMITED EDITION #910042 Lost City $475 - Lego Bricklink LIMITED EDITION #910032 Parisian Street $600 - Lego Bricklink LIMITED EDITION #910046 Merchant Boat $350 - Lego Bricklink LIMITED EDITION #910040 Harbormasters Office $400 - Lego Bricklink LIMITED EDITION #910039 The Art of Chocolate $450 - Lego Bricklink LIMITED EDITION #910044 Wild West Train $500 - Lego Bricklink LIMITED EDITION #910033 Old Train Engine Shed $450    Tags: lego,bricklink, limited, rare, 910009, 910003, 910045, 910031, 910030, 910042, 910032, 910046, 910040, 910039, 910044, 910033 Modular, lego store, kit, bundle, windmill, mountain, siege, encampment, general, store, snack, shack, lost, city, parisian, street, merchant, boat, habormaster, office, art, chocolate, wild west, train, engine, shed","Guildford",12/10/2025
